Texture: mono_dejavu_sans_110.png
0000	0	0	8	18	1
0020	9	0	10	18	0	8
0021	11	0	13	18	4	3
0022	14	0	20	18	2	1
0023	21	0	30	18
0024	31	0	38	18	1	1
0025	39	0	48	18
0026	49	0	56	18	1	1
0027	57	0	59	18	4	3
0028	60	0	64	18	3	2
0029	65	0	69	18	2	3
002A	70	0	77	18	1	1
002B	78	0	86	18	1
002C	87	0	90	18	2	4
002D	91	0	96	18	2	2
002E	97	0	99	18	3	4
002F	100	0	108	18	1
0030	109	0	116	18	1	1
0031	117	0	123	18	2	1
0032	124	0	132	18	1
0033	133	0	140	18	1	1
0034	141	0	148	18	1	1
0035	149	0	156	18	1	1
0036	157	0	164	18	1	1
0037	165	0	172	18	1	1
0038	173	0	180	18	1	1
0039	181	0	188	18	1	1
003A	189	0	191	18	3	4
003B	192	0	195	18	2	4
003C	196	0	204	18	1
003D	205	0	213	18	1
003E	214	0	222	18	1
003F	223	0	229	18	1	2
0040	230	0	238	18	0	1
0041	239	0	246	18	1	1
0042	247	0	254	18	1	1
0043	255	0	262	18	1	1
0044	263	0	270	18	1	1
0045	271	0	278	18	1	1
0046	279	0	286	18	1	1
0047	287	0	294	18	1	1
0048	295	0	302	18	1	1
0049	303	0	309	18	1	2
004A	310	0	317	18	1	1
004B	318	0	326	18	1
004C	327	0	334	18	1	1
004D	335	0	342	18	1	1
004E	343	0	350	18	1	1
004F	351	0	358	18	1	1
0050	359	0	366	18	1	1
0051	367	0	374	18	1	1
0052	375	0	383	18	1
0053	384	0	391	18	1	1
0054	392	0	400	18	0	1
0055	401	0	408	18	1	1
0056	409	0	416	18	1	1
0057	417	0	426	18
0058	427	0	434	18	1	1
0059	435	0	443	18	0	1
005A	444	0	451	18	1	1
005B	452	0	456	18	3	2
005C	457	0	464	18	1	1
005D	465	0	469	18	2	3
005E	470	0	478	18	0	1
005F	479	0	488	18
0060	489	0	493	18	1	4
0061	494	0	501	18	1	1
0062	502	0	509	18	1	1
0063	510	0	517	18	1	1
0064	518	0	525	18	1	1
0065	526	0	533	18	1	1
0066	534	0	541	18	1	1
0067	542	0	549	18	1	1
0068	550	0	557	18	1	1
0069	558	0	566	18	1
006A	567	0	572	18	1	3
006B	573	0	580	18	1	1
006C	581	0	588	18	1	1
006D	589	0	597	18	1
006E	598	0	605	18	1	1
006F	606	0	613	18	1	1
0070	614	0	621	18	1	1
0071	622	0	629	18	1	1
0072	630	0	636	18	2	1
0073	637	0	644	18	1	1
0074	645	0	652	18	1	1
0075	653	0	660	18	1	1
0076	661	0	668	18	1	1
0077	669	0	678	18
0078	679	0	686	18	1	1
0079	687	0	694	18	1	1
007A	695	0	702	18	1	1
007B	703	0	709	18	2	1
007C	710	0	712	18	4	3
007D	713	0	719	18	2	1
007E	720	0	728	18	1
00A0	729	0	730	18	0	8
00A1	731	0	733	18	4	3
00A2	734	0	741	18	1	1
00A3	742	0	750	18	1
00A4	751	0	758	18	1	1
00A5	759	0	767	18	0	1
00A6	768	0	770	18	4	3
00A7	771	0	778	18	1	1
00A8	779	0	784	18	2	2
00A9	785	0	794	18
00AA	795	0	800	18	2	2
00AB	801	0	807	18	1	2
00AC	808	0	816	18	1
00AD	817	0	822	18	2	2
00AE	823	0	832	18
00AF	833	0	838	18	2	2
00B0	839	0	844	18	2	2
00B1	845	0	853	18	1
00B2	854	0	859	18	2	2
00B3	860	0	865	18	2	2
00B4	866	0	870	18	3	2
00B5	871	0	879	18	1
00B6	880	0	887	18	1	1
00B7	888	0	890	18	3	4
00B8	891	0	894	18	3	3
00B9	895	0	900	18	2	2
00BA	901	0	906	18	2	2
00BB	907	0	913	18	1	2
00BC	914	0	922	18	0	1
